WMO Region;Country;Station;Latitude;Longitude;Elevation;WMO Index
Europe;Greece;TANAGRA (AIRPORT);38.3354;23.5629;147.83;0-20000-0-16699
Europe;Switzerland;BARGEN;47.7975;8.5944444444;740;0-20000-0-06622
Europe;Macedonia (the former Yugoslav Republic of);POPOVA SAPKA;41.0166666667;20.8830555556;null;0-20000-0-13492
Europe;Ukraine;SARATA;46.0166666667;29.6666666667;12;0-20000-0-33896
Europe;Norway;VARNTRESK;65.8263888889;14.1847222222;406;0-20000-0-01147
Europe;Sweden;KLOTEN;59.8702777778;15.2522222222;282.3;0-20000-0-02431
Europe;Finland;LAPPEENRANTA KONNUNSUO;61.0388888889;28.5638888889;46;0-20000-0-02733
Europe;Iceland;SAUDANES;66.24743;-15.26148;20.5;0-20000-0-04081
Europe;Spain;ZAMORA;41.5155555556;-5.7352777778;656;0-20000-0-08130
Europe;Poland;OLSZTYN;53.7711111111;20.4227777778;133.21;0-20000-0-12272
Europe;Latvia;JELGAVA;56.6775;23.7375;4.38;0-20000-0-26425
Europe;Finland;PARIKKALA KOITSANLAHTI;61.4447222222;29.4611111111;74;0-20000-0-02734
Europe;Finland;SAVUKOSKI KK;67.2861111111;28.1769444444;180;0-20000-0-02815
Europe;United Kingdom (the);SHAWBURY;52.7947222222;-2.6647222222;75.9;0-20000-0-03414
Europe;Spain;FANLO, REFUGIO DE GORIZ;42.6633333333;0.015;2195;0-20000-0-08926
Europe;Turkey;KAHRAMANMARAS;37.6;36.9333333333;572;0-20000-0-17255
Europe;Spain;CORBERA, PIC D'AGULLES;41.4080555556;1.8847222222;647;0-20000-0-08179
Europe;Russian Federation;ZERDEVKA;51.8333333333;41.4833333333;144.74;0-20000-0-34047
Europe;Georgia;AKHALTSIKHE;41.6505555556;43.0069444444;989.2;0-20000-0-37514
Europe;Finland;PYHAJARVI OJAKYLA;63.7358333333;25.7058333333;152;0-20000-0-02738
Europe;Norway;HAUGESUND AP;59.3497222222;5.1977777778;26.21;0-20000-0-01408
Europe;Italy;MONTE TERMINILLO;42.4666666667;12.9833333333;1874;0-20000-0-16219
Europe;Greece;EL VENIZELOS;37.9213888889;23.9313888889;93.88;0-20000-0-16741
Europe;Turkey;BATMAN;37.8833333333;41.1166666667;545;0-20000-0-17282
Europe;Netherlands;A12-CPP;55.3991666667;3.8102777778;48.35;0-20000-0-06205
Europe;Spain;CAMARENA DE LA SIERRA;40.1152777778;-1.0344444444;1520;0-20000-0-08958
Europe;Romania;ROMAN;46.9691027095;26.9118340072;216;0-20000-0-15111
Europe;France;CHERVES RADAR;46.6986111111;0.0655555556;159;0-20000-0-07336
Europe;Switzerland;SAMEDAN;46.5263888889;9.8788888889;1708.53;0-20000-0-06792
Europe;Russian Federation;GUNIB;42.4;46.9666666667;1420;0-20000-0-37463
Europe;Norway;PYRAMIDEN;78.6555555556;16.3602777778;20;0-20000-0-01024
Europe;Norway;GULLFAKS C;61.2042;2.2687;80;0-20000-0-01300
Europe;Sweden;AMOT;60.9622222222;16.4311111111;161.82;0-20000-0-02440
Europe;Ukraine;KERCH;45.4;36.4166666667;46;0-20000-0-33983
Europe;Russian Federation;IZBERG;42.5333333333;47.9166666667;-19;0-20000-0-37473
Europe;Norway;YTTEROYANE LH;61.5716666667;4.6816666667;26;0-20000-0-01304
Europe;Norway;UTSIRA LH;59.3063888889;4.8722222222;55;0-20000-0-01403
Europe;Romania;CALAFAT;43.9848998035;22.9460524002;61;0-20000-0-15482
Europe;Germany;GLUECKSBURG-MEIERWIK;54.8272222222;9.5058333333;27;0-20000-0-10033
Europe;Austria;LILIENFELD/TARSCHBERG;48.0280555556;15.5875;696;0-20000-0-11078
Europe;Romania;JOSENI;46.7057389033;25.5125729394;750;0-20000-0-15127
Europe;Greece;RETHYMNON;35.35;24.5166666667;7;0-20000-0-16758
Europe;Sweden;VILHELMINA;64.5811111111;16.8422222222;348.14;0-20000-0-02245
Europe;Sweden;VISBY AEROLOGISKA STATION;57.65;18.35;45;0-20000-0-02591
Europe;Finland;JAMSA HALLI LENTOASEMANTIE;61.8597222222;24.8147222222;144;0-20000-0-02946
Europe;Germany;SCHLESWIG (10035-0);54.527539;9.548666;42.7;0-20000-0-10035
Europe;Romania;CHISINEU-CRIS;46.5185230273;21.5416603087;96;0-20000-0-15136
Europe;Romania;DUMBRAVITA DE CODRU;46.6446237915;22.1712028507;586;0-20000-0-15138
Europe;Italy;ROMA/CENTOCELLE;41.8680555556;12.5577777778;52;0-20000-0-16238
Europe;Norway;BJORNOYA (1028-0);74.5166666667;19.0047222222;18;0-20000-0-01028
Europe;Finland;MUONIO SAMMALTUNTURI;67.9733333333;24.1158333333;565;0-20000-0-02821
Europe;Finland;KANKAANPAA NIINISALO PUOLVOIM;61.8386111111;22.4633333333;124;0-20000-0-02942
Europe;Austria;FRANKENMARKT;47.9913888889;13.4230555556;565;0-20000-0-11352
Europe;Romania;MANGALIA;43.816124375;28.5874503506;6;0-20000-0-15499
Europe;Macedonia (the former Yugoslav Republic of);SKOPJE-ZAJCEV RID;42.0166666667;21.4;302;0-20000-0-13588
Europe;Greece;THIRA (AIRPORT);36.4022;25.4737;37.5;0-20000-0-16744
Europe;Switzerland;PASSO DEL BERNINA;46.4091666667;10.0194444444;2260;0-20000-0-06797
Europe;France;MACON;46.2966666667;4.7986111111;222;0-20000-0-07385
Europe;Austria;WINDISCHGARSTEN;47.7202777778;14.3261111111;599.9;0-20000-0-11355
Europe;Italy;FUCINO;41.9783333333;13.6052777778;649;0-20000-0-16227
Europe;Turkey;BODRUM MILAS;37.2333333333;27.6666666667;6;0-20000-0-17291
Europe;Germany;NEU ULRICHSTEIN;50.7516666667;9.0225;350.3;0-20000-0-10537
Europe;Austria;WELS/SCHLEISSHEIM;48.1627777778;14.0713888889;309.4;0-20000-0-11059
Europe;Poland;LESZNO;51.8358333333;16.5347222222;90.55;0-20000-0-12418
Europe;Norway;STOKMARKNES AP;68.58;15.0294444444;3.35;0-20000-0-01162
